SANS Control Name,Definition,Why Critical,Control #,Control Evaluation,Weight,short,Procedure and Tools,Effectiveness Metrics
Malware Defenses ,,,CSC 5-10,"Do you implement an incident response process that allows the IT support organization to supply the security team with samples of malware running on corporate systems that do not appear to be recognized by the enterprise's anti-malware software? Do you provide samples  to your security vendors for ""out-of-band"" signature creation and later deployed to the enterprise by system administrators?",3,Implement Incident response,,
Malware Defenses ,,,CSC 5-11,Do you enable domain name system (DNS) query logging to detect hostname lookup for known malicious C2 domains ?,3,Enable DNS query logging,,
Application Software Security ,"Manage the security lifecycle of all in-house developed and acquired software in order to prevent, detect, and correct security weaknesses. ","Attacks often take advantage of vulnerabilities found in web-based and other application software. Vulnerabilities can be present for many reasons, including coding mistakes, logic errors, incomplete requirements, and failure to test for unusual or unexpected conditions. Examples of specific errors include: the failure to check the size of user input; failure to filter out unneeded but potentially malicious character sequences from input streams; failure to initialize and clear variables; and poor memory management allowing flaws in one part of the software to affect unrelated (and more security critical) portions. There is a flood of public and private information about such vulnerabilities available to attackers and defenders alike, as well as a robust marketplace for tools and techniques to allow ""weaponization"" of vulnerabilities into exploits. Attackers can inject specific exploits, including buffer overflows, SQL injection attacks, cross-site scripting, cross-site request forgery, and click-jacking of code to gain control over vulnerable machines. In one attack, more than 1 million web servers were exploited and turned into infection engines for visitors to those sites using SQL injection. During that attack, trusted websites from state governments and other organizations compromised by attackers were used to infect hundreds of thousands of browsers that accessed those websites. Many more web and non-web application vulnerabilities are discovered on a regular basis.",CSC 6-1,"For all acquired application software, do you check that the version you are using is still supported by the vendor? If not, do you update to the most current version and install all relevant patches and vendor security recommendations ?",1,Vendor supported version,"The security of applications (in-house developed or acquired) is a complex activity requiring a complete program encompassing enterprise-wide policy, technology, and the role of people. These are often broadly defined or required by formal Risk Management Frameworks and processes. ",Can the application system detect attacks & block them within 24 hours of being detected (yes or no)?
Application Software Security ,,,CSC 6-2,"Do you protect web applications by deploying web application firewalls (WAFs) that inspect all traffic flowing to the web application for common web application attacks, including but not limited to cross-site scripting, SQL injection, command injection, and directory traversal attacks?",1,Deploy Web Application Firewalls (WAF),,Are all Internet facing applications scanned by web application vulnerability scanners at least weekly (yes or no)?
Application Software Security ,,,CSC 6-3,"For the in-house developed software, do you ensure that explicit error checking is performed and documented for all input, including for size, data type, and acceptable ranges or formats ?",2,Perform error checking,,How long does it take for alerts to be generated & sent to system administrators that a vulnerability scan has or has not completed (time in minutes)?
Application Software Security ,,,CSC 6-4,"Do you test in-house-developed and third-party-procured web applications for common security weaknesses using automated remote web application scanners prior to deployment, whenever updates are made to the application, and on a regular recurring basis?  ",2,Use automated remote web app scanners,,Are all vulnerabilities detected by the scanning tools fixed or remediated within 15 days of detection (yes or no)?
Application Software Security ,,,CSC 6-5,Do you prevent displaying system error messages to end-users (output sanitization) ?,2,Prevent display system errors,,
Application Software Security ,,,CSC 6-6,Do you maintain separate environments for production and nonproduction systems?  Developers should not typically have unmonitored access to production environments.,2,Separate environment for prod and non prod,,
Application Software Security ,,,CSC 6-7,"Do you test in-house-developed web and other application software for coding errors and potential vulnerabilities prior to deployment using automated static code analysis software, as well as manual testing and inspection? ",2,Test for coding errors,,
Application Software Security ,,,CSC 6-8,"For acquired application software, do you examine the product security process of the vendor (history of vulnerabilities, customer notification, patching/remediation) as part of the overall enterprise risk management process ?",2,Examine SW vendor development process,,
Application Software Security ,,,CSC 6-9,"For applications that rely on a database, do you use standard hardening configuration templates ? ",2,Standard hardening config templates,,
Application Software Security ,,,CSC 6-10,Do you ensure that all software development personnel receive training in writing secure code for their specific development environment ?,2,Training in writing secure code,,
Application Software Security ,,,CSC 6-11,"For in-house developed applications, do you ensure that development artifacts (sample data and scripts; unused libraries, components, debug code; or tools) are not included in the deployed software, or accessible in the production environment ?",2,Sample scripts not included in deployed SW,,
Wireless Access Control ,"The processes and tools used to track/control/prevent/correct the security use of wireless local area networks (LANS), access points, and wireless client systems. ","Major thefts of data have been initiated by attackers who have gained wireless access to organizations from outside the physical building, bypassing organizations' security perimeters by connecting wirelessly to access points inside the organization. Wireless clients accompanying traveling officials are infected on a regular basis through remote exploitation during air travel or in cyber cafes. Such exploited systems are then used as back doors when they are reconnected to the network of a target organization. Still other organizations have reported the discovery of unauthorized wireless access points on their networks, planted and sometimes hidden for unrestricted access to an internal network. Because they do not require direct physical connections, wireless devices are a convenient vector for attackers to maintain long-term access into a target environment.",CSC 7-1,"Do you ensure that each wireless device connected to the network matches an authorized configuration and security profile, with a documented owner of the connection and a defined business need? ",1,Auth configuration and profile,,
Wireless Access Control ,,,CSC 7-2,Do you configure network vulnerability scanning tools to detect wireless access points connected to the wired network? Identified devices should be reconciled against a list of authorized wireless access points.,1,Use network vulnerability scanning tools,,
Wireless Access Control ,,,CSC 7-3,"Do you use wireless intrusion detection systems (WIDS) to identify rogue wireless devices and detect attack attempts and successful compromises? In addition to WIDS, all wireless traffic should be monitored by WIDS as traffic passes into the wired network. ",2,Use Wireless IDS,,
Wireless Access Control ,,,CSC 7-4,"Where a specific business need for wireless access has been identified, do you configure wireless access on client machines to allow access only to authorized wireless networks ?",2,Access to authorized wireless network,,
Wireless Access Control ,,,CSC 7-5,"For devices that do not have an essential wireless business purpose, do you disable wireless access in the hardware configuration, with password protections to lower the possibility that the user will override such configurations ?",2,Disable wireless access to non essential devices,,
Wireless Access Control ,,,CSC 7-6,Do you ensure that all wireless traffic leverages at least Advanced Encryption Standard (AES) encryption used with at least Wi-Fi Protected Access 2 (WPA2) protection ?,2,Atleast AES encryption with WPA2 protection,,
Wireless Access Control ,,,CSC 7-7,"Do you ensure that wireless networks use authentication protocols such as Extensible Authentication Protocol-Transport Layer Security (EAP/TLS), which provide credential protection and mutual authentication ?",2,Wireless Networks use EAP/TLS protocol,,
Wireless Access Control ,,,CSC 7-8,"Do you disable peer-to-peer wireless network capabilities on wireless clients, unless such functionality meets a documented business need ?",2,Disable peer to peer wireless network,,
Wireless Access Control ,,,CSC 7-9,"Do you disable wireless peripheral access of devices (such as Bluetooth), unless such access is required for a documented business need ?",2,Disable wireless peripheral access,,
Wireless Access Control ,,,CSC 7-10,Do you create separate virtual local area networks (VLANs) for BYOD systems or other untrusted devices?  Internet access from this VLAN should go through at least the same border as corporate traffic. ,2,Separate VLAN for BYOD systems,,
Data Recovery Capability,The processes and tools used to properly back up critical information with a proven methodology for timely recovery of it. ,"When attackers compromise machines, they often make significant changes to configurations and software. Sometimes attackers also make subtle alterations of data stored on compromised machines, potentially jeopardizing organizational effectiveness with polluted information. When the attackers are discovered, it can be extremely difficult for organizations without a trustworthy data recovery capability to remove all aspects of the attacker's presence on the machine.",CSC 8-1,"Do you ensure that each system is automatically backed up on at least a weekly basis, and more often for systems storing sensitive information?  ",1,Auto backup for each system,,
